id,brand,name,category,price_tier,price_low,price_high,currency,image_url,catalog_image_path,render_image_path,origin,is_active,display_order,description
1,Lumica,Lumica Remote Control Packshot,lighting,mid-range,100,500,EUR,lighting/mid-range/lumica-remote-control-packshot.webp,lighting/mid-range/lumica-remote-control-packshot.webp,lighting/mid-range/lumica-remote-control-packshot.webp,catalog-2026,True,1,Reliable quality and contemporary design. Ideal for modern renovation projects.
2,Lumica,Lumica Remote Control Lifestyle,lighting,mid-range,100,500,EUR,lighting/mid-range/lumica-remote-control-lifestyle.webp,lighting/mid-range/lumica-remote-control-lifestyle.webp,lighting/mid-range/lumica-remote-control-lifestyle.webp,catalog-2026,True,2,Reliable quality and contemporary design. Ideal for modern renovation projects.
3,Essential Line,Essential Line Lighting,lighting,budget,40,100,EUR,lighting/budget/essential-line-lighting-6.webp,lighting/budget/essential-line-lighting-6.webp,lighting/budget/essential-line-lighting-6.webp,catalog-2026,True,3,Essential products - Practical and affordable. Perfect for budget-conscious renovations without compromising quality.
4,Essential Line,Essential Line Toilets,toilets,budget,150,300,EUR,toilets/budget/essential-line-toilets-2.webp,toilets/budget/essential-line-toilets-2.webp,toilets/budget/essential-line-toilets-2.webp,catalog-2026,True,4,Essential products - Practical and affordable. Perfect for budget-conscious renovations without compromising quality.
5,Duravit,Duravit Duravit Starck 3 Starck 3 Wc Variants,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-starck_3-starck_3_wc_variants_04.webp,toilets/premium/duravit-duravit-starck_3-starck_3_wc_variants_04.webp,toilets/premium/duravit-duravit-starck_3-starck_3_wc_variants_04.webp,catalog-2026,True,5,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
6,Duravit,Duravit Duravit D Neo Dneo Pop,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-d-neo-dneo_pop_01.webp,toilets/premium/duravit-duravit-d-neo-dneo_pop_01.webp,toilets/premium/duravit-duravit-d-neo-dneo_pop_01.webp,catalog-2026,True,6,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
7,Duravit,Duravit Duravit Durastyle Durastyle Wt Galerie,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-durastyle-durastyle_wt-galerie_01.webp,toilets/premium/duravit-duravit-durastyle-durastyle_wt-galerie_01.webp,toilets/premium/duravit-duravit-durastyle-durastyle_wt-galerie_01.webp,catalog-2026,True,7,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
8,Duravit,Duravit Duravit Architec Architec Toilets And Bidets,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-architec-architec_toilets-and-bidets_1080.webp,toilets/premium/duravit-duravit-architec-architec_toilets-and-bidets_1080.webp,toilets/premium/duravit-duravit-architec-architec_toilets-and-bidets_1080.webp,catalog-2026,True,8,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
9,Duravit,Duravit Duravit D Neo Dneo Welt Pop,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-d-neo-dneo_welt_pop.webp,toilets/premium/duravit-duravit-d-neo-dneo_welt_pop.webp,toilets/premium/duravit-duravit-d-neo-dneo_welt_pop.webp,catalog-2026,True,9,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
10,Duravit,Duravit Vero Stand Wc Bidet,toilets,premium,600,2500,EUR,toilets/premium/duravit-vero_stand_-_wc-bidet_01.webp,toilets/premium/duravit-vero_stand_-_wc-bidet_01.webp,toilets/premium/duravit-vero_stand_-_wc-bidet_01.webp,catalog-2026,True,10,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
11,Duravit,Duravit Duravit Bento Starck Box Bentostarckbox,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-bento_starck_box-bentostarckbox_13.webp,toilets/premium/duravit-duravit-bento_starck_box-bentostarckbox_13.webp,toilets/premium/duravit-duravit-bento_starck_box-bentostarckbox_13.webp,catalog-2026,True,11,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
12,Duravit,Duravit Duravit Starck 3 Starck 3 Wc Regular And Compact Version,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-starck_3-starck_3_wc_regular_and_compact_version.webp,toilets/premium/duravit-duravit-starck_3-starck_3_wc_regular_and_compact_version.webp,toilets/premium/duravit-duravit-starck_3-starck_3_wc_regular_and_compact_version.webp,catalog-2026,True,12,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
13,Duravit,Duravit Durastyle Wc Sensowash,toilets,premium,600,2500,EUR,toilets/premium/duravit-durastyle_wc_-_sensowash.webp,toilets/premium/duravit-durastyle_wc_-_sensowash.webp,toilets/premium/duravit-durastyle_wc_-_sensowash.webp,catalog-2026,True,13,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
14,Duravit,Duravit Duravit D Neo Dneo Minimal,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-d-neo-dneo_minimal_02.webp,toilets/premium/duravit-duravit-d-neo-dneo_minimal_02.webp,toilets/premium/duravit-duravit-d-neo-dneo_minimal_02.webp,catalog-2026,True,14,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
15,Duravit,Duravit Duravit Durastyle Durastyle Hoschrank Vermasst,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-durastyle-durastyle_hoschrank_vermasst.webp,toilets/premium/duravit-duravit-durastyle-durastyle_hoschrank_vermasst.webp,toilets/premium/duravit-duravit-durastyle-durastyle_hoschrank_vermasst.webp,catalog-2026,True,15,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
16,Duravit,Duravit Duravit Me By Starck Me By Starck Elegant Detail Wanne 01,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_elegant_detail_wanne_01_0404.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_elegant_detail_wanne_01_0404.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_elegant_detail_wanne_01_0404.webp,catalog-2026,True,16,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
17,Duravit,Duravit Duravit Vero Air Veroair Tm 235080 0030661000 01,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-vero_air-veroair_tm_235080_0030661000_01_0606.webp,toilets/premium/duravit-duravit-vero_air-veroair_tm_235080_0030661000_01_0606.webp,toilets/premium/duravit-duravit-vero_air-veroair_tm_235080_0030661000_01_0606.webp,catalog-2026,True,17,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
18,Duravit,Duravit Duravit Me By Starck Me By Starck Toilets,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_toilets_01.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_toilets_01.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_toilets_01.webp,catalog-2026,True,18,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
19,Duravit,Duravit Duravit Me By Starck Me By Starck Pure Wei%c3%9f Matt Milieu 09,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_pure_wei%C3%9F-matt_milieu_09_0332.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_pure_wei%C3%9F-matt_milieu_09_0332.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_pure_wei%C3%9F-matt_milieu_09_0332.webp,catalog-2026,True,19,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
20,Duravit,Duravit Duravit Toilets Category Floor Standing Toilets,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-toilets-category_floor-standing_toilets.webp,toilets/premium/duravit-duravit-toilets-category_floor-standing_toilets.webp,toilets/premium/duravit-duravit-toilets-category_floor-standing_toilets.webp,catalog-2026,True,20,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
21,Duravit,Duravit Duravit Me By Starck Me By Starck Pure Wei%c3%9f Matt Teilmilieu Mwt100 01 0532%2341 4,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_pure_wei%C3%9F-matt_teilmilieu_mwt100_01_0532%2341_4_2.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_pure_wei%C3%9F-matt_teilmilieu_mwt100_01_0532%2341_4_2.webp,toilets/premium/duravit-duravit-me_by_starck-me_by_starck_pure_wei%C3%9F-matt_teilmilieu_mwt100_01_0532%2341_4_2.webp,catalog-2026,True,21,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
22,Duravit,Duravit Duravit Toilets Dneo Boho,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-toilets-dneo_boho_10.webp,toilets/premium/duravit-duravit-toilets-dneo_boho_10.webp,toilets/premium/duravit-duravit-toilets-dneo_boho_10.webp,catalog-2026,True,22,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
23,Duravit,Duravit Duravit Starck 3 Starck 3 Einbauwaschtisch,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-starck_3-starck_3_einbauwaschtisch_03.webp,toilets/premium/duravit-duravit-starck_3-starck_3_einbauwaschtisch_03.webp,toilets/premium/duravit-duravit-starck_3-starck_3_einbauwaschtisch_03.webp,catalog-2026,True,23,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
24,Duravit,Duravit Duravit D Neo Dneo Boho,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-d-neo-dneo_boho_08.webp,toilets/premium/duravit-duravit-d-neo-dneo_boho_08.webp,toilets/premium/duravit-duravit-d-neo-dneo_boho_08.webp,catalog-2026,True,24,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
25,Duravit,Duravit Duravit Vero Air Veroair C Bonded Detail M%c3%b6belwaschtisch 04,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-vero_air-veroair-c-bonded_detail_m%C3%B6belwaschtisch_04_2429.webp,toilets/premium/duravit-duravit-vero_air-veroair-c-bonded_detail_m%C3%B6belwaschtisch_04_2429.webp,toilets/premium/duravit-duravit-vero_air-veroair-c-bonded_detail_m%C3%B6belwaschtisch_04_2429.webp,catalog-2026,True,25,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
26,Duravit,Duravit Duravit Durastyle Durastyle Badewanne Acryl Und Moebelverkleidung,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-durastyle-durastyle_badewanne_acryl-und-moebelverkleidung.webp,toilets/premium/duravit-duravit-durastyle-durastyle_badewanne_acryl-und-moebelverkleidung.webp,toilets/premium/duravit-duravit-durastyle-durastyle_badewanne_acryl-und-moebelverkleidung.webp,catalog-2026,True,26,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
27,Duravit,Duravit Duravit D Neo Dneo Welt Monochrome,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-d-neo-dneo_welt_monochrome.webp,toilets/premium/duravit-duravit-d-neo-dneo_welt_monochrome.webp,toilets/premium/duravit-duravit-d-neo-dneo_welt_monochrome.webp,catalog-2026,True,27,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
28,Duravit,Duravit Duravit Me By Starck Philippe Starck 02 By Jean Baptiste Mondino,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-me_by_starck-philippe_starck_02-by-jean-baptiste-mondino.webp,toilets/premium/duravit-duravit-me_by_starck-philippe_starck_02-by-jean-baptiste-mondino.webp,toilets/premium/duravit-duravit-me_by_starck-philippe_starck_02-by-jean-baptiste-mondino.webp,catalog-2026,True,28,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
29,Duravit,Duravit Duravit Durastyle Durastyle Hochschrank,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-durastyle-durastyle_hochschrank_01.webp,toilets/premium/duravit-duravit-durastyle-durastyle_hochschrank_01.webp,toilets/premium/duravit-duravit-durastyle-durastyle_hochschrank_01.webp,catalog-2026,True,29,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
30,Duravit,Duravit Duravit Starck 3 Starck3 L Cube Mwt850 Tm 12 3479 News,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-starck_3-starck3-l-cube_mwt850_tm_12_3479_news2016.webp,toilets/premium/duravit-duravit-starck_3-starck3-l-cube_mwt850_tm_12_3479_news2016.webp,toilets/premium/duravit-duravit-starck_3-starck3-l-cube_mwt850_tm_12_3479_news2016.webp,catalog-2026,True,30,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
31,Duravit,Duravit Me By Starck Toilets,toilets,premium,600,2500,EUR,toilets/premium/duravit-me_by_starck_toilets_02.webp,toilets/premium/duravit-me_by_starck_toilets_02.webp,toilets/premium/duravit-me_by_starck_toilets_02.webp,catalog-2026,True,31,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
32,Duravit,Duravit Duravit Sink Series Starck 1 Starck Barrel,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-sink-series-starck_1-starck-barrel_04.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck-barrel_04.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck-barrel_04.webp,catalog-2026,True,32,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
33,Duravit,Duravit Duravit Starck 3 Starck 3 Wand Wc Sensowash,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-starck_3-starck_3_wand-wc_-_sensowash.webp,toilets/premium/duravit-duravit-starck_3-starck_3_wand-wc_-_sensowash.webp,toilets/premium/duravit-duravit-starck_3-starck_3_wand-wc_-_sensowash.webp,catalog-2026,True,33,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
34,Duravit,Duravit Duravit Durastyle Durastyle Wc Sensowash,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-durastyle-durastyle_wc_-_sensowash.webp,toilets/premium/duravit-duravit-durastyle-durastyle_wc_-_sensowash.webp,toilets/premium/duravit-duravit-durastyle-durastyle_wc_-_sensowash.webp,catalog-2026,True,34,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
35,Duravit,Duravit Duravit Sink Series Starck 1 Starck1 Tonne,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-sink-series-starck_1-starck1_tonne.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck1_tonne.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck1_tonne.webp,catalog-2026,True,35,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
36,Duravit,Duravit Duravit Sink Series Starck 1 Starck Badewanne,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-sink-series-starck_1-starck_badewanne.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck_badewanne.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck_badewanne.webp,catalog-2026,True,36,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
37,Duravit,Duravit Duravit Sink Series Starck 1 Starck Slimline Stage,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-sink-series-starck_1-starck_slimline_stage.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck_slimline_stage.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck_slimline_stage.webp,catalog-2026,True,37,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
38,Duravit,Duravit Duravit Sink Series Starck 1 Starck2 Tm,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-sink-series-starck_1-starck2_tm__03.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck2_tm__03.webp,toilets/premium/duravit-duravit-sink-series-starck_1-starck2_tm__03.webp,catalog-2026,True,38,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
39,Duravit,Duravit Duravit Sinks Opzetwastafels Vero Air Milieu 2350120024 11 02,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-sinks-opzetwastafels-vero-air_milieu_2350120024_11_02_1248.webp,toilets/premium/duravit-duravit-sinks-opzetwastafels-vero-air_milieu_2350120024_11_02_1248.webp,toilets/premium/duravit-duravit-sinks-opzetwastafels-vero-air_milieu_2350120024_11_02_1248.webp,catalog-2026,True,39,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
40,Duravit,Duravit Duravit D Neo Dneo Monochrome,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-d-neo-dneo_monochrome_03.webp,toilets/premium/duravit-duravit-d-neo-dneo_monochrome_03.webp,toilets/premium/duravit-duravit-d-neo-dneo_monochrome_03.webp,catalog-2026,True,40,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
41,Duravit,Duravit Me By Starck Furniture Washbasins,toilets,premium,600,2500,EUR,toilets/premium/duravit-me_by_starck_furniture_washbasins_06.webp,toilets/premium/duravit-me_by_starck_furniture_washbasins_06.webp,toilets/premium/duravit-me_by_starck_furniture_washbasins_06.webp,catalog-2026,True,41,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
42,Duravit,Duravit Duravit Sink Series Vero Vero Bathtub Back To Wall,toilets,premium,600,2500,EUR,toilets/premium/duravit-duravit-sink-series-vero-vero_bathtub_back-to-wall_01.webp,toilets/premium/duravit-duravit-sink-series-vero-vero_bathtub_back-to-wall_01.webp,toilets/premium/duravit-duravit-sink-series-vero-vero_bathtub_back-to-wall_01.webp,catalog-2026,True,42,Premium toilets from Duravit. High-quality design and materials for luxury bathrooms. Part of the premium collection.
